PID,Time,Event,Duration(ms)
31797,1701134150.834024,Starting forkall,0.00
31797,1701134150.935665,Starting parent,101.64
31797,1701134150.936266,Started wait for iothread lock,0.60
31797,1701134150.936283,Acquired iothread lock,0.02
31797,1701134150.936384,HMP done in parent,0.10
31810,1701134150.936556,Starting child,0.17
31810,1701134150.937517,Restored threads,0.96
31810,1701134150.938584,Started wait for iothread lock,1.07
31810,1701134150.938661,Acquired iothread lock,0.08
31810,1701134151.386952,Got the socket conn CHILD,448.29
31810,1701134151.386956,HMP Start loading the VM CHILD,0.00
31810,1701134151.386957,HMP Start loading the snapshot,0.00
31810,1701134151.386991,flushing the record/replay queue,0.03
31810,1701134151.386993,bdrv_drain_all_begin,0.00
31810,1701134151.387016,bdrv_all_goto_snapshot,0.02
31810,1701134151.387017,bdrv_all_goto_snapshot done,0.00
31810,1701134151.391221,Actuall loadvm_state,4.20
31810,1701134151.391314,Done with loadvm_state,0.09
31810,1701134151.391316,Release aioctx | Starting bdrv drain all end,0.00
31810,1701134151.391316,Done with load_snapshot,0.00
31810,1701134151.391321,HMP end loading the snapshot,0.01
31810,1701134151.391330,HMP Done loading the VM CHILD,0.01
