PID,Time,Event,Duration(ms)
19773,1701139139.764956,Starting forkall,0.00
19773,1701139139.866972,Starting parent,102.02
19773,1701139139.867700,Started wait for iothread lock,0.73
19773,1701139139.867718,Acquired iothread lock,0.02
19773,1701139139.867777,HMP done in parent,0.06
19786,1701139139.868118,Starting child,0.34
19786,1701139139.869186,Restored threads,1.07
19786,1701139139.870249,Started wait for iothread lock,1.06
19786,1701139139.870284,Acquired iothread lock,0.04
19786,1701139140.182091,Got the socket conn CHILD,311.81
19786,1701139140.182097,HMP Start loading the VM CHILD,0.01
19786,1701139140.182098,HMP Start loading the snapshot,0.00
19786,1701139140.182189,flushing the record/replay queue,0.09
19786,1701139140.182192,bdrv_drain_all_begin,0.00
19786,1701139140.182226,bdrv_all_goto_snapshot,0.03
19786,1701139140.182228,bdrv_all_goto_snapshot done,0.00
19786,1701139140.188498,Actuall loadvm_state,6.27
19786,1701139140.188631,Done with loadvm_state,0.13
19786,1701139140.188634,Release aioctx | Starting bdrv drain all end,0.00
19786,1701139140.188634,Done with load_snapshot,0.00
19786,1701139140.188643,HMP end loading the snapshot,0.01
19786,1701139140.188651,HMP Done loading the VM CHILD,0.01
