PID,Time,Event,Duration(ms)
6449,1701122769.444572,Starting forkall,0.00
6449,1701122769.543781,Starting parent,99.21
6465,1701122769.544076,Starting child,0.29
6449,1701122769.544180,Started wait for iothread lock,0.10
6449,1701122769.544198,Acquired iothread lock,0.02
6449,1701122769.544226,HMP done in parent,0.03
6465,1701122769.544846,Restored threads,0.62
6465,1701122769.546171,Started wait for iothread lock,1.32
6465,1701122769.546199,Acquired iothread lock,0.03
6465,1701122769.897341,Got the socket conn CHILD,351.14
6465,1701122769.897352,HMP Start loading the VM CHILD,0.01
6465,1701122769.897353,Enabling EPT sharing,0.00
6465,1701122769.903118,EPT shared: DONE,5.76
6465,1701122769.903176,HMP Start loading the snapshot,0.06
6465,1701122769.903245,flushing the record/replay queue,0.07
6465,1701122769.903263,bdrv_drain_all_begin,0.02
6465,1701122769.903322,bdrv_all_goto_snapshot,0.06
6465,1701122769.903336,bdrv_all_goto_snapshot done,0.01
6465,1701122769.915878,Actuall loadvm_state,12.54
6465,1701122769.916156,Done with loadvm_state,0.28
6465,1701122769.916160,Release aioctx | Starting bdrv drain all end,0.00
6465,1701122769.916163,Done with load_snapshot,0.00
6465,1701122769.916185,HMP end loading the snapshot,0.02
6465,1701122769.916215,HMP Done loading the VM CHILD,0.03
