PID,Time,Event,Duration(ms)
21966,1701135918.631182,Starting forkall,0.00
21966,1701135918.732995,Starting parent,101.81
21966,1701135918.733669,Started wait for iothread lock,0.67
21966,1701135918.733689,Acquired iothread lock,0.02
21982,1701135918.733999,Starting child,0.31
21966,1701135918.734136,HMP done in parent,0.14
21982,1701135918.734892,Restored threads,0.76
21982,1701135918.735704,Started wait for iothread lock,0.81
21982,1701135918.735720,Acquired iothread lock,0.02
21982,1701135919.188755,Got the socket conn CHILD,453.04
21982,1701135919.188764,HMP Start loading the VM CHILD,0.01
21982,1701135919.188765,Enabling EPT sharing,0.00
21982,1701135919.193625,EPT shared: DONE,4.86
21982,1701135919.193630,HMP Start loading the snapshot,0.01
21982,1701135919.193717,flushing the record/replay queue,0.09
21982,1701135919.193722,bdrv_drain_all_begin,0.01
21982,1701135919.193795,bdrv_all_goto_snapshot,0.07
21982,1701135919.193798,bdrv_all_goto_snapshot done,0.00
21982,1701135919.206418,Actuall loadvm_state,12.62
21982,1701135919.206714,Done with loadvm_state,0.30
21982,1701135919.206717,Release aioctx | Starting bdrv drain all end,0.00
21982,1701135919.206721,Done with load_snapshot,0.00
21982,1701135919.206740,HMP end loading the snapshot,0.02
21982,1701135919.206767,HMP Done loading the VM CHILD,0.03
