PID,Time,Event,Duration(ms)
21681,1701135894.624235,Starting forkall,0.00
21681,1701135894.723436,Starting parent,99.20
21697,1701135894.723949,Starting child,0.51
21681,1701135894.724087,Started wait for iothread lock,0.14
21681,1701135894.724105,Acquired iothread lock,0.02
21681,1701135894.724168,HMP done in parent,0.06
21697,1701135894.724762,Restored threads,0.59
21697,1701135894.725454,Started wait for iothread lock,0.69
21697,1701135894.725469,Acquired iothread lock,0.02
21697,1701135894.994557,Got the socket conn CHILD,269.09
21697,1701135894.994566,HMP Start loading the VM CHILD,0.01
21697,1701135894.994566,Enabling EPT sharing,0.00
21697,1701135894.999381,EPT shared: DONE,4.82
21697,1701135894.999435,HMP Start loading the snapshot,0.05
21697,1701135894.999503,flushing the record/replay queue,0.07
21697,1701135894.999520,bdrv_drain_all_begin,0.02
21697,1701135894.999593,bdrv_all_goto_snapshot,0.07
21697,1701135894.999606,bdrv_all_goto_snapshot done,0.01
21697,1701135895.011772,Actuall loadvm_state,12.17
21697,1701135895.012091,Done with loadvm_state,0.32
21697,1701135895.012096,Release aioctx | Starting bdrv drain all end,0.01
21697,1701135895.012097,Done with load_snapshot,0.00
21697,1701135895.012118,HMP end loading the snapshot,0.02
21697,1701135895.012154,HMP Done loading the VM CHILD,0.04
