PID,Time,Event,Duration(ms)
652,1701122541.920161,Starting forkall,0.00
652,1701122542.021553,Starting parent,101.39
672,1701122542.022058,Starting child,0.50
652,1701122542.022192,Started wait for iothread lock,0.13
652,1701122542.022210,Acquired iothread lock,0.02
652,1701122542.022410,HMP done in parent,0.20
672,1701122542.023541,Restored threads,1.13
672,1701122542.025676,Started wait for iothread lock,2.14
672,1701122542.025940,Acquired iothread lock,0.26
672,1701122542.473587,Got the socket conn CHILD,447.65
672,1701122542.473596,HMP Start loading the VM CHILD,0.01
672,1701122542.473597,Enabling EPT sharing,0.00
672,1701122542.479068,EPT shared: DONE,5.47
672,1701122542.479115,HMP Start loading the snapshot,0.05
672,1701122542.479183,flushing the record/replay queue,0.07
672,1701122542.479199,bdrv_drain_all_begin,0.02
672,1701122542.479272,bdrv_all_goto_snapshot,0.07
672,1701122542.479286,bdrv_all_goto_snapshot done,0.01
672,1701122542.491757,Actuall loadvm_state,12.47
672,1701122542.492034,Done with loadvm_state,0.28
672,1701122542.492041,Release aioctx | Starting bdrv drain all end,0.01
672,1701122542.492043,Done with load_snapshot,0.00
672,1701122542.492064,HMP end loading the snapshot,0.02
672,1701122542.492095,HMP Done loading the VM CHILD,0.03
