PID,Time,Event,Duration(ms)
30787,1701136589.031493,Starting forkall,0.00
30787,1701136589.138406,Starting parent,106.91
30787,1701136589.138546,Started wait for iothread lock,0.14
30787,1701136589.138927,Acquired iothread lock,0.38
30787,1701136589.139124,HMP done in parent,0.20
30803,1701136589.139669,Starting child,0.55
30803,1701136589.141387,Restored threads,1.72
30803,1701136589.143898,Started wait for iothread lock,2.51
30803,1701136589.153102,Acquired iothread lock,9.20
30803,1701136589.421192,Got the socket conn CHILD,268.09
30803,1701136589.421202,HMP Start loading the VM CHILD,0.01
30803,1701136589.421202,Enabling EPT sharing,0.00
30803,1701136589.426906,EPT shared: DONE,5.70
30803,1701136589.426912,HMP Start loading the snapshot,0.01
30803,1701136589.427032,flushing the record/replay queue,0.12
30803,1701136589.427038,bdrv_drain_all_begin,0.01
30803,1701136589.427124,bdrv_all_goto_snapshot,0.09
30803,1701136589.427140,bdrv_all_goto_snapshot done,0.02
30803,1701136589.440196,Actuall loadvm_state,13.06
30803,1701136589.440639,Done with loadvm_state,0.44
30803,1701136589.440646,Release aioctx | Starting bdrv drain all end,0.01
30803,1701136589.440647,Done with load_snapshot,0.00
30803,1701136589.440668,HMP end loading the snapshot,0.02
30803,1701136589.440696,HMP Done loading the VM CHILD,0.03
