PID,Time,Event,Duration(ms)
5185,1700601676.716382,Starting forkall,0.00
5185,1700601676.818262,Starting parent,101.88
5185,1700601676.818829,Started wait for iothread lock,0.57
5185,1700601676.818846,Acquired iothread lock,0.02
5185,1700601676.818916,HMP done in parent,0.07
5201,1700601676.819105,Starting child,0.19
5201,1700601676.819597,Restored threads,0.49
5201,1700601676.820386,Started wait for iothread lock,0.79
5201,1700601676.820402,Acquired iothread lock,0.02
5201,1700601677.240422,Got the socket conn CHILD,420.02
5201,1700601677.240432,HMP Start loading the VM CHILD,0.01
5201,1700601677.240433,HMP Start loading the snapshot,0.00
5201,1700601677.240517,flushing the record/replay queue,0.08
5201,1700601677.240522,bdrv_drain_all_begin,0.01
5201,1700601677.240578,bdrv_all_goto_snapshot,0.06
5201,1700601677.240579,bdrv_all_goto_snapshot done,0.00
5201,1700601677.247644,Actuall loadvm_state,7.07
5201,1700601677.247709,Done with loadvm_state,0.07
5201,1700601677.247710,Release aioctx | Starting bdrv drain all end,0.00
5201,1700601677.247711,Done with load_snapshot,0.00
5201,1700601677.247714,HMP end loading the snapshot,0.00
5201,1700601677.247718,HMP Done loading the VM CHILD,0.00
