PID,Time,Event,Duration(ms)
15503,1701135458.755150,Starting forkall,0.00
15503,1701135458.857128,Starting parent,101.98
15503,1701135458.857759,Started wait for iothread lock,0.63
15503,1701135458.857779,Acquired iothread lock,0.02
15503,1701135458.857851,HMP done in parent,0.07
15521,1701135458.858324,Starting child,0.47
15521,1701135458.859008,Restored threads,0.68
15521,1701135458.861028,Started wait for iothread lock,2.02
15521,1701135458.861044,Acquired iothread lock,0.02
15521,1701135459.276467,Got the socket conn CHILD,415.42
15521,1701135459.276476,HMP Start loading the VM CHILD,0.01
15521,1701135459.276477,HMP Start loading the snapshot,0.00
15521,1701135459.276558,flushing the record/replay queue,0.08
15521,1701135459.276564,bdrv_drain_all_begin,0.01
15521,1701135459.276623,bdrv_all_goto_snapshot,0.06
15521,1701135459.276625,bdrv_all_goto_snapshot done,0.00
15521,1701135459.288952,Actuall loadvm_state,12.33
15521,1701135459.289228,Done with loadvm_state,0.28
15521,1701135459.289234,Release aioctx | Starting bdrv drain all end,0.01
15521,1701135459.289235,Done with load_snapshot,0.00
15521,1701135459.289255,HMP end loading the snapshot,0.02
15521,1701135459.289284,HMP Done loading the VM CHILD,0.03
