PID,Time,Event,Duration(ms)
16388,1701135531.548819,Starting forkall,0.00
16388,1701135531.650504,Starting parent,101.69
16404,1701135531.651030,Starting child,0.53
16388,1701135531.651370,Started wait for iothread lock,0.34
16388,1701135531.651405,Acquired iothread lock,0.04
16388,1701135531.651463,HMP done in parent,0.06
16404,1701135531.651838,Restored threads,0.38
16404,1701135531.652653,Started wait for iothread lock,0.81
16404,1701135531.652667,Acquired iothread lock,0.01
16404,1701135532.007730,Got the socket conn CHILD,355.06
16404,1701135532.007739,HMP Start loading the VM CHILD,0.01
16404,1701135532.007740,HMP Start loading the snapshot,0.00
16404,1701135532.007819,flushing the record/replay queue,0.08
16404,1701135532.007824,bdrv_drain_all_begin,0.01
16404,1701135532.007900,bdrv_all_goto_snapshot,0.08
16404,1701135532.007902,bdrv_all_goto_snapshot done,0.00
16404,1701135532.019696,Actuall loadvm_state,11.79
16404,1701135532.019934,Done with loadvm_state,0.24
16404,1701135532.019940,Release aioctx | Starting bdrv drain all end,0.01
16404,1701135532.019941,Done with load_snapshot,0.00
16404,1701135532.019959,HMP end loading the snapshot,0.02
16404,1701135532.019976,HMP Done loading the VM CHILD,0.02
