PID,Time,Event,Duration(ms)
17359,1701135612.254063,Starting forkall,0.00
17359,1701135612.355922,Starting parent,101.86
17359,1701135612.356550,Started wait for iothread lock,0.63
17359,1701135612.356593,Acquired iothread lock,0.04
17359,1701135612.356640,HMP done in parent,0.05
17375,1701135612.357151,Starting child,0.51
17375,1701135612.357743,Restored threads,0.59
17375,1701135612.359557,Started wait for iothread lock,1.81
17375,1701135612.359936,Acquired iothread lock,0.38
17375,1701135612.738623,Got the socket conn CHILD,378.69
17375,1701135612.738632,HMP Start loading the VM CHILD,0.01
17375,1701135612.738633,HMP Start loading the snapshot,0.00
17375,1701135612.738710,flushing the record/replay queue,0.08
17375,1701135612.738715,bdrv_drain_all_begin,0.01
17375,1701135612.738780,bdrv_all_goto_snapshot,0.07
17375,1701135612.738782,bdrv_all_goto_snapshot done,0.00
17375,1701135612.751621,Actuall loadvm_state,12.84
17375,1701135612.751876,Done with loadvm_state,0.26
17375,1701135612.751882,Release aioctx | Starting bdrv drain all end,0.01
17375,1701135612.751883,Done with load_snapshot,0.00
17375,1701135612.751902,HMP end loading the snapshot,0.02
17375,1701135612.751936,HMP Done loading the VM CHILD,0.03
