4,44544,0,12
4,44545,0,5
5,44615,4294692864,0
5,1075883590,140721033936592,0
5,44609,0,6
4,44548,0,12288
6,2167975555,140721033936304,0
6,1094233732,140721033936304,0
6,1083223682,140721033936160,0
6,44672,0,0
6,44672,0,0
6,44672,0,0
6,44672,0,0
6,2167975555,140721033935776,0
6,2156965505,140721033935632,0
4,44544,0,12
4,44545,0,5
5,44615,4294692864,0
5,1075883590,140721033934976,0
5,44609,0,6
4,44548,0,12288
6,1094233732,140721033935088,0
6,1083223682,140721033935400,0
6,44672,0,0
6,44672,0,0
6,44672,0,0
6,44672,0,0
6,44672,0,0
6,44672,0,0
6,2156965505,140721033934864,0
6,44672,0,0
6,44672,0,0
6,44672,0,0
6,44672,0,0
6,44672,0,0
6,44672,0,0
6,2167975555,140721033935776,0
6,2156965505,140721033935632,0
6,2156965505,140721033935632,0
