PID,Time,Event,Duration(ms)
10709,1700622616.551901,Starting forkall,0.00
10709,1700622616.650636,Starting parent,98.73
10709,1700622616.651383,Started wait for iothread lock,0.75
10709,1700622616.651457,Acquired iothread lock,0.07
10709,1700622616.651521,HMP done in parent,0.06
10722,1700622616.651695,Starting child,0.17
10722,1700622616.652726,Restored threads,1.03
10722,1700622616.653459,Started wait for iothread lock,0.73
10722,1700622616.653489,Acquired iothread lock,0.03
10722,1700622616.952116,Got the socket conn CHILD,298.63
10722,1700622616.952125,HMP Start loading the VM CHILD,0.01
10722,1700622616.952126,HMP Start loading the snapshot,0.00
10722,1700622616.952196,flushing the record/replay queue,0.07
10722,1700622616.952216,bdrv_drain_all_begin,0.02
10722,1700622616.952265,bdrv_all_goto_snapshot,0.05
10722,1700622616.952266,bdrv_all_goto_snapshot done,0.00
10722,1700622616.963372,Actuall loadvm_state,11.11
10722,1700622616.963751,Done with loadvm_state,0.38
10722,1700622616.963757,Release aioctx | Starting bdrv drain all end,0.01
10722,1700622616.963758,Done with load_snapshot,0.00
10722,1700622616.963777,HMP end loading the snapshot,0.02
10722,1700622616.963811,HMP Done loading the VM CHILD,0.03
