PID,Time,Event,Duration(ms)
20928,1700975670.400665,Starting forkall,0.00
20928,1700975670.499482,Starting parent,98.82
20928,1700975670.500251,Started wait for iothread lock,0.77
20941,1700975670.500269,Starting child,0.02
20928,1700975670.500331,Acquired iothread lock,0.06
20928,1700975670.500778,HMP done in parent,0.45
20941,1700975670.501366,Restored threads,0.59
20941,1700975670.502401,Started wait for iothread lock,1.04
20941,1700975670.502414,Acquired iothread lock,0.01
20941,1700975670.865818,Got the socket conn CHILD,363.40
20941,1700975670.865845,HMP Start loading the VM CHILD,0.03
20941,1700975670.865848,Enabling EPT sharing,0.00
20941,1700975670.876993,EPT shared: DONE,11.14
20941,1700975670.877043,HMP Start loading the snapshot,0.05
20941,1700975670.877097,flushing the record/replay queue,0.05
20941,1700975670.877112,bdrv_drain_all_begin,0.02
20941,1700975670.877167,bdrv_all_goto_snapshot,0.06
20941,1700975670.877180,bdrv_all_goto_snapshot done,0.01
20941,1700975670.891533,Actuall loadvm_state,14.35
20941,1700975670.891799,Done with loadvm_state,0.27
20941,1700975670.891802,Release aioctx | Starting bdrv drain all end,0.00
20941,1700975670.891804,Done with load_snapshot,0.00
20941,1700975670.891819,HMP end loading the snapshot,0.02
20941,1700975670.891838,HMP Done loading the VM CHILD,0.02
