PID,Time,Event,Duration(ms)
304,1700598681.203009,Starting forkall,0.00
304,1700598681.309762,Starting parent,106.75
304,1700598681.310379,Started wait for iothread lock,0.62
304,1700598681.310459,Acquired iothread lock,0.08
304,1700598681.310551,HMP done in parent,0.09
339,1700598681.310647,Starting child,0.10
339,1700598681.311836,Restored threads,1.19
339,1700598681.314409,Started wait for iothread lock,2.57
339,1700598681.317023,Acquired iothread lock,2.61
339,1700598681.601979,Got the socket conn CHILD,284.96
339,1700598681.601988,HMP Start loading the VM CHILD,0.01
339,1700598681.601989,HMP Start loading the snapshot,0.00
339,1700598681.602074,flushing the record/replay queue,0.08
339,1700598681.602079,bdrv_drain_all_begin,0.01
339,1700598681.602144,bdrv_all_goto_snapshot,0.07
339,1700598681.602146,bdrv_all_goto_snapshot done,0.00
339,1700598681.615896,Actuall loadvm_state,13.75
339,1700598681.616226,Done with loadvm_state,0.33
339,1700598681.616230,Release aioctx | Starting bdrv drain all end,0.00
339,1700598681.616233,Done with load_snapshot,0.00
339,1700598681.616254,HMP end loading the snapshot,0.02
339,1700598681.616273,HMP Done loading the VM CHILD,0.02
