PID,Time,Event,Duration(ms)
9426,1700601850.809483,Starting forkall,0.00
9426,1700601850.911542,Starting parent,102.06
9426,1700601850.912136,Started wait for iothread lock,0.59
9426,1700601850.912154,Acquired iothread lock,0.02
9426,1700601850.912222,HMP done in parent,0.07
9443,1700601850.912560,Starting child,0.34
9443,1700601850.913257,Restored threads,0.70
9443,1700601850.913988,Started wait for iothread lock,0.73
9443,1700601850.914003,Acquired iothread lock,0.01
9443,1700601851.389908,Got the socket conn CHILD,475.91
9443,1700601851.389916,HMP Start loading the VM CHILD,0.01
9443,1700601851.389917,HMP Start loading the snapshot,0.00
9443,1700601851.390062,flushing the record/replay queue,0.15
9443,1700601851.390067,bdrv_drain_all_begin,0.01
9443,1700601851.390123,bdrv_all_goto_snapshot,0.06
9443,1700601851.390125,bdrv_all_goto_snapshot done,0.00
9443,1700601851.394221,Actuall loadvm_state,4.10
9443,1700601851.394282,Done with loadvm_state,0.06
9443,1700601851.394283,Release aioctx | Starting bdrv drain all end,0.00
9443,1700601851.394283,Done with load_snapshot,0.00
9443,1700601851.394287,HMP end loading the snapshot,0.00
9443,1700601851.394293,HMP Done loading the VM CHILD,0.01
