PID,Time,Event,Duration(ms)
9858,1701135046.993294,Starting forkall,0.00
9858,1701135047.094802,Starting parent,101.51
9858,1701135047.095483,Started wait for iothread lock,0.68
9858,1701135047.095501,Acquired iothread lock,0.02
9858,1701135047.095663,HMP done in parent,0.16
9874,1701135047.095794,Starting child,0.13
9874,1701135047.097024,Restored threads,1.23
9874,1701135047.098816,Started wait for iothread lock,1.79
9874,1701135047.098895,Acquired iothread lock,0.08
9874,1701135047.590503,Got the socket conn CHILD,491.61
9874,1701135047.590512,HMP Start loading the VM CHILD,0.01
9874,1701135047.590513,HMP Start loading the snapshot,0.00
9874,1701135047.590607,flushing the record/replay queue,0.09
9874,1701135047.590612,bdrv_drain_all_begin,0.01
9874,1701135047.590719,bdrv_all_goto_snapshot,0.11
9874,1701135047.590722,bdrv_all_goto_snapshot done,0.00
9874,1701135047.603301,Actuall loadvm_state,12.58
9874,1701135047.603725,Done with loadvm_state,0.42
9874,1701135047.603729,Release aioctx | Starting bdrv drain all end,0.00
9874,1701135047.603730,Done with load_snapshot,0.00
9874,1701135047.603754,HMP end loading the snapshot,0.02
9874,1701135047.603784,HMP Done loading the VM CHILD,0.03
