PID,Time,Event,Duration(ms)
2516,1701136952.446849,Starting forkall,0.00
2516,1701136952.549471,Starting parent,102.62
2529,1701136952.550040,Starting child,0.57
2516,1701136952.550170,Started wait for iothread lock,0.13
2516,1701136952.550188,Acquired iothread lock,0.02
2516,1701136952.550251,HMP done in parent,0.06
2529,1701136952.550760,Restored threads,0.51
2529,1701136952.552076,Started wait for iothread lock,1.32
2529,1701136952.552377,Acquired iothread lock,0.30
2529,1701136953.045282,Got the socket conn CHILD,492.90
2529,1701136953.045290,HMP Start loading the VM CHILD,0.01
2529,1701136953.045291,Enabling EPT sharing,0.00
2529,1701136953.050045,EPT shared: DONE,4.75
2529,1701136953.050084,HMP Start loading the snapshot,0.04
2529,1701136953.050160,flushing the record/replay queue,0.08
2529,1701136953.050177,bdrv_drain_all_begin,0.02
2529,1701136953.050250,bdrv_all_goto_snapshot,0.07
2529,1701136953.050273,bdrv_all_goto_snapshot done,0.02
2529,1701136953.062542,Actuall loadvm_state,12.27
2529,1701136953.062797,Done with loadvm_state,0.26
2529,1701136953.062801,Release aioctx | Starting bdrv drain all end,0.00
2529,1701136953.062804,Done with load_snapshot,0.00
2529,1701136953.062824,HMP end loading the snapshot,0.02
2529,1701136953.062850,HMP Done loading the VM CHILD,0.03
