PID,Time,Event,Duration(ms)
1153,1701140252.272969,Starting forkall,0.00
1153,1701140252.374814,Starting parent,101.85
1153,1701140252.375470,Started wait for iothread lock,0.66
1153,1701140252.375488,Acquired iothread lock,0.02
1153,1701140252.375558,HMP done in parent,0.07
1170,1701140252.376131,Starting child,0.57
1170,1701140252.376658,Restored threads,0.53
1170,1701140252.378160,Started wait for iothread lock,1.50
1170,1701140252.378176,Acquired iothread lock,0.02
1170,1701140252.902455,Got the socket conn CHILD,524.28
1170,1701140252.902464,HMP Start loading the VM CHILD,0.01
1170,1701140252.902465,HMP Start loading the snapshot,0.00
1170,1701140252.902553,flushing the record/replay queue,0.09
1170,1701140252.902558,bdrv_drain_all_begin,0.01
1170,1701140252.902622,bdrv_all_goto_snapshot,0.06
1170,1701140252.902624,bdrv_all_goto_snapshot done,0.00
1170,1701140252.916112,Actuall loadvm_state,13.49
1170,1701140252.916495,Done with loadvm_state,0.38
1170,1701140252.916502,Release aioctx | Starting bdrv drain all end,0.01
1170,1701140252.916503,Done with load_snapshot,0.00
1170,1701140252.916532,HMP end loading the snapshot,0.03
1170,1701140252.916581,HMP Done loading the VM CHILD,0.05
