PID,Time,Event,Duration(ms)
18812,1701123347.221809,Starting forkall,0.00
18812,1701123347.323573,Starting parent,101.76
18825,1701123347.324123,Starting child,0.55
18812,1701123347.324235,Started wait for iothread lock,0.11
18812,1701123347.324253,Acquired iothread lock,0.02
18812,1701123347.324334,HMP done in parent,0.08
18825,1701123347.324920,Restored threads,0.59
18825,1701123347.325652,Started wait for iothread lock,0.73
18825,1701123347.325670,Acquired iothread lock,0.02
18825,1701123347.717341,Got the socket conn CHILD,391.67
18825,1701123347.717350,HMP Start loading the VM CHILD,0.01
18825,1701123347.717351,Enabling EPT sharing,0.00
18825,1701123347.722460,EPT shared: DONE,5.11
18825,1701123347.722506,HMP Start loading the snapshot,0.05
18825,1701123347.722605,flushing the record/replay queue,0.10
18825,1701123347.722623,bdrv_drain_all_begin,0.02
18825,1701123347.722684,bdrv_all_goto_snapshot,0.06
18825,1701123347.722697,bdrv_all_goto_snapshot done,0.01
18825,1701123347.735285,Actuall loadvm_state,12.59
18825,1701123347.735616,Done with loadvm_state,0.33
18825,1701123347.735622,Release aioctx | Starting bdrv drain all end,0.01
18825,1701123347.735624,Done with load_snapshot,0.00
18825,1701123347.735642,HMP end loading the snapshot,0.02
18825,1701123347.735676,HMP Done loading the VM CHILD,0.03
