PID,Time,Event,Duration(ms)
306473,1701716292.016862,Starting forkall,0.00
306473,1701716292.116312,Starting parent,99.45
306473,1701716292.116970,Started wait for iothread lock,0.66
306473,1701716292.116985,Acquired iothread lock,0.02
306473,1701716292.117023,HMP done in parent,0.04
306485,1701716292.117229,Starting child,0.21
306485,1701716292.117369,Patched QEMU cond list,0.14
306485,1701716292.117657,Restored threads,0.29
306485,1701716292.118365,Started wait for iothread lock,0.71
306485,1701716292.118382,Acquired iothread lock,0.02
306485,1701716293.478702,Got the socket conn CHILD,1360.32
306485,1701716293.478708,HMP Start loading the VM CHILD,0.01
306485,1701716293.478709,HMP Start loading the snapshot,0.00
306485,1701716293.478844,flushing the record/replay queue,0.13
306485,1701716293.478856,bdrv_drain_all_begin,0.01
306485,1701716293.478909,bdrv_all_goto_snapshot,0.05
306485,1701716293.478918,bdrv_all_goto_snapshot done,0.01
306485,1701716293.488693,Actuall loadvm_state,9.77
306485,1701716293.488872,Done with loadvm_state,0.18
306485,1701716293.488873,Release aioctx | Starting bdrv drain all end,0.00
306485,1701716293.488873,Done with load_snapshot,0.00
306485,1701716293.488876,HMP end loading the snapshot,0.00
306485,1701716293.488882,HMP Done loading the VM CHILD,0.01
