PID,Time,Event,Duration(ms)
15446,1700766796.862346,Starting forkall,0.00
15446,1700766796.960899,Starting parent,98.55
15446,1700766796.961690,Started wait for iothread lock,0.79
15446,1700766796.961765,Acquired iothread lock,0.08
15446,1700766796.961831,HMP done in parent,0.07
15474,1700766796.962312,Starting child,0.48
15474,1700766796.963220,Restored threads,0.91
15474,1700766796.966188,Started wait for iothread lock,2.97
15474,1700766796.966204,Acquired iothread lock,0.02
15474,1700766797.356539,Got the socket conn CHILD,390.34
15474,1700766797.356549,HMP Start loading the VM CHILD,0.01
15474,1700766797.356550,HMP Start loading the snapshot,0.00
15474,1700766797.356628,flushing the record/replay queue,0.08
15474,1700766797.356645,bdrv_drain_all_begin,0.02
15474,1700766797.356696,bdrv_all_goto_snapshot,0.05
15474,1700766797.356699,bdrv_all_goto_snapshot done,0.00
15474,1700766797.363335,Actuall loadvm_state,6.64
15474,1700766797.363422,Done with loadvm_state,0.09
15474,1700766797.363424,Release aioctx | Starting bdrv drain all end,0.00
15474,1700766797.363424,Done with load_snapshot,0.00
15474,1700766797.363431,HMP end loading the snapshot,0.01
15474,1700766797.363439,HMP Done loading the VM CHILD,0.01
