PID,Time,Event,Duration(ms)
287857,1701714898.950629,Starting forkall,0.00
287857,1701714899.049440,Starting parent,98.81
287857,1701714899.049917,Started wait for iothread lock,0.48
287857,1701714899.049928,Acquired iothread lock,0.01
287857,1701714899.049959,HMP done in parent,0.03
287869,1701714899.050410,Starting child,0.45
287869,1701714899.050419,patching cond list,0.01
287869,1701714899.050423,Patching cond,0.00
287869,1701714899.050518,Patching cond,0.10
287869,1701714899.050543,Patching cond,0.03
287869,1701714899.050565,Patching cond,0.02
287869,1701714899.050596,Patching cond,0.03
287869,1701714899.050650,Patching cond,0.05
287869,1701714899.050704,Patching cond,0.05
287869,1701714899.050758,Patching cond,0.05
287869,1701714899.050820,Patched QEMU cond list,0.06
287869,1701714899.051129,Restored threads,0.31
287869,1701714899.051856,Started wait for iothread lock,0.73
287869,1701714899.051875,Acquired iothread lock,0.02
287869,1701714900.435555,Got the socket conn CHILD,1383.68
287869,1701714900.435563,HMP Start loading the VM CHILD,0.01
287869,1701714900.435568,HMP Start loading the snapshot,0.01
287869,1701714900.435717,flushing the record/replay queue,0.15
287869,1701714900.435729,bdrv_drain_all_begin,0.01
287869,1701714900.435785,bdrv_all_goto_snapshot,0.06
287869,1701714900.435786,bdrv_all_goto_snapshot done,0.00
287869,1701714900.446452,Actuall loadvm_state,10.67
287869,1701714900.446595,Done with loadvm_state,0.14
287869,1701714900.446596,Release aioctx | Starting bdrv drain all end,0.00
287869,1701714900.446596,Done with load_snapshot,0.00
287869,1701714900.446600,HMP end loading the snapshot,0.00
287869,1701714900.446610,HMP Done loading the VM CHILD,0.01
